Mon 01 Jan 1190	Mon 27 Dec 118E
Tue 26 Jan 1190	Tue 25 Jan 1190
Wed 01 Feb 1190	Wed 26 Jan 1190
Fri 27 Feb 1190	Fri 25 Feb 1190
Sat 01 Mar 1190	Sat 01 Mar 1190
Sun 26 Mar 1190	Sun 26 Mar 1190
Mon 01 Apr 1190	Mon 27 Mar 1190
Tue 26 Apr 1190	Tue 25 Apr 1190
Wed 01 May 1190	Wed 26 Apr 1190
Fri 27 May 1190	Fri 26 May 1190
Sat 01 Jun 1190	Sat 27 May 1190
Sun 26 Jun 1190	Sun 25 Jun 1190
Mon 01 Jul 1190	Mon 26 Jun 1190
Tue 26 Jul 1190	Tue 25 Jul 1190
Wed 01 Aug 1190	Wed 26 Jul 1190
Fri 27 Aug 1190	Fri 25 Aug 1190
Sat 01 Sep 1190	Sat 26 Aug 1190
Sun 26 Sep 1190	Sun 24 Sep 1190
Mon 01 Oct 1190	Mon 25 Sep 1190
Tue 26 Oct 1190	Tue 24 Oct 1190
Wed 01 Nov 1190	Wed 25 Oct 1190
Fri 27 Nov 1190	Fri 24 Nov 1190
Sat 01 Dec 1190	Sat 25 Nov 1190
Sun 26 Dec 1190	Sun 24 Dec 1190
Mon 01 Jan 1191	Sun 25 Dec 1190
Tue 26 Jan 1191	Tue 23 Jan 1191
Wed 01 Feb 1191	Wed 24 Jan 1191
Fri 27 Feb 1191	Fri 23 Feb 1191
Sat 01 Mar 1191	Sat 24 Feb 1191
Sun 26 Mar 1191	Sun 25 Mar 1191
Mon 01 Apr 1191	Mon 26 Mar 1191
Tue 26 Apr 1191	Tue 24 Apr 1191
Wed 01 May 1191	Wed 25 Apr 1191
Fri 27 May 1191	Fri 25 May 1191
Sat 01 Jun 1191	Sat 26 May 1191
Sun 26 Jun 1191	Sun 24 Jun 1191
Mon 01 Jul 1191	Mon 25 Jun 1191
Tue 26 Jul 1191	Tue 24 Jul 1191
Wed 01 Aug 1191	Wed 25 Jul 1191
Fri 27 Aug 1191	Fri 24 Aug 1191
Sat 01 Sep 1191	Sat 25 Aug 1191
Sun 26 Sep 1191	Sun 23 Sep 1191
Mon 01 Oct 1191	Mon 24 Sep 1191
Tue 26 Oct 1191	Tue 23 Oct 1191
Wed 01 Nov 1191	Wed 24 Oct 1191
Fri 27 Nov 1191	Fri 23 Nov 1191
Sat 01 Dec 1191	Sat 24 Nov 1191
Sun 26 Dec 1191	Sun 23 Dec 1191
Mon 01 Irv 1191	Mon 24 Dec 1191
Sun 07 Irv 1191	Sun 03 Jan 1192
Mon 01 Jan 1192	Mon 04 Jan 1192
Mon 01 Jan 11E7	Mon 03 Jan 11E7
Tue 26 Jan 11E7	Tue 01 Feb 11E7
